kod;date;balance
00002966;2021-12-01;0.0
00002967;2021-12-01;0.0
00002968;2021-12-01;0.0
00002969;2021-12-01;0.0
00002970;2021-12-01;0.0
00002971;2021-12-01;0.0
00002972;2021-12-01;0.0
00002973;2021-12-01;0.0
00002974;2021-12-01;0.0
00002975;2021-12-01;0.0
00002976;2021-12-01;0.0
00002977;2021-12-01;0.0
00002978;2021-12-01;0.0
00002980;2021-12-01;0.0
00002981;2021-12-01;0.0
00002982;2021-12-01;0.0
00002983;2021-12-01;0.0
00002984;2021-12-01;0.0
00002985;2021-12-01;0.0
00002986;2021-12-01;0.0
00002987;2021-12-01;0.0
00002988;2021-12-01;0.0
00002989;2021-12-01;0.0
00002990;2021-12-01;0.0
00002991;2021-12-01;0.0
00002992;2021-12-01;0.0
00002993;2021-12-01;0.0
00002994;2021-12-01;0.0
00002995;2021-12-01;0.0
00002996;2021-12-01;0.0
00002997;2021-12-01;0.0
00002998;2021-12-01;0.0
00002999;2021-12-01;0.0
00003000;2021-12-01;0.0
00003001;2021-12-01;0.0
00003002;2021-12-01;0.0
00003003;2021-12-01;0.0
00003004;2021-12-01;0.0
00003005;2021-12-01;0.0
00003006;2021-12-01;0.0
00003007;2021-12-01;0.0
00003008;2021-12-01;0.0
00003009;2021-12-01;0.0
00003010;2021-12-01;0.0
00003011;2021-12-01;0.0
00003012;2021-12-01;0.0
00003013;2021-12-01;0.0
00003014;2021-12-01;0.0
00003015;2021-12-01;0.0
00003016;2021-12-01;0.0
00003017;2021-12-01;0.0
00003018;2021-12-01;0.0
00003019;2021-12-01;0.0
00003020;2021-12-01;0.0
00003021;2021-12-01;0.0
00003022;2021-12-01;0.0
00003023;2021-12-01;0.0
00003024;2021-12-01;0.0
00003025;2021-12-01;0.0
00003026;2021-12-01;0.0
00003027;2021-12-01;0.0
00003028;2021-12-01;0.0
00003029;2021-12-01;0.0
00003030;2021-12-01;0.0
00003031;2021-12-01;0.0
00003032;2021-12-01;0.0
00003033;2021-12-01;0.0
00003034;2021-12-01;0.0
00003035;2021-12-01;0.0
00003036;2021-12-01;0.0
00003037;2021-12-01;0.0
00003038;2021-12-01;0.0
00003039;2021-12-01;0.0
00003040;2021-12-01;0.0
00003041;2021-12-01;0.0
00003042;2021-12-01;0.0
00003043;2021-12-01;0.0
00003044;2021-12-01;0.0
