kod,рЕЙСЫХИ ЛЕЯЪЖ,prev sells,prev-1 sells,prev-2 sells,prev-3 sells,prev-4 sells,prev-5 sells,prev-6 sells,prev-7 sells,prev-8 sells,prev-9 sells,prev-10 sells,prev-11 sells,prev-12 sells,prev-13 sells,prev-14 sells,prev-15 sells,prev-16 sells,prev-17 sells,prev-18 sells,oldest sells,гЮ ЦНД
жа013858   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013870   ,3,1,1,2,0,0,0,0,1,2,2,0,1,0,0,1,1,0,0,0,1,10
жа013871   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013873   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
жа013875   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013876   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013890   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013891   ,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
жа013904   ,0,0,0,1,0,0,0,8,0,2,8,0,0,0,0,0,8,0,0,8,0,19
жа013907   ,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
жа013909   ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
жа013910   ,4,4,4,7,8,0,4,4,7,0,8,0,0,0,0,0,4,0,12,0,0,46
жа013918   ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
жа013919   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013920   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013936   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013977   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013980   ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
жа013984   ,15,10,21,25,16,15,5,8,21,25,14,19,20,12,11,15,12,10,4,15,11,211
жа013989   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
жа013999   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014017   ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
жа014018   ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
жа014019   ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,4
жа014020   ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2
жа014021   ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2
жа014033   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
жа014034   ,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,4
жа014041   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа014043   ,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,8
жа014044   ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
жа014046   ,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,6
жа014052   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
