kod,tsenazakup,tsenarozn
00003252,45.83,100.0
00003253,186.35,190.0
00003254,253.22,400.0
00003255,107.8,110.0
00003256,59.65,470.0
00003257,468.0,680.0
00003258,141.28,250.0
00003259,592.98,970.0
00003260,2105.16,3160.0
00003261,41.6,75.0
00003262,113.4,150.0
00003263,2379.31,3090.0
00003264,1731.85,2800.0
00003265,847.0,1570.0
00003266,490.0,1550.0
00003267,490.0,910.0
00003268,490.0,910.0
00003269,1036.0,1920.0
00003270,1015.0,1880.0
00003271,1015.0,1880.0
00003272,257.0,420.0
00003273,4550.0,6370.0
00003274,2288.0,12350.0
00003275,194.79,330.0
00003276,339.57,550.0
00003277,1338.0,3500.0
00003278,1338.0,3500.0
00003279,2450.0,6100.0
00003280,349.0,1820.0
00003281,100.0,250.0
00003282,266.0,490.0
00003283,758.0,1610.0
00003284,128.0,420.0
00003285,128.0,420.0
00003286,308.2,500.0
00003287,64.0,420.0
00003288,784.0,3100.0
00003289,32.48,75.0
00003290,2044.16,3200.0
00003291,185.0,490.0
00003292,1072.0,2400.0
00003293,1239.0,2500.0
00003294,1057.0,2300.0
00003295,210.0,390.0
00003296,210.0,390.0
00003297,210.0,390.0
00003298,105.0,300.0
00003299,437.0,910.0
00003300,665.0,1850.0
00003301,840.0,3730.0
00003302,840.0,1750.0
00003303,,500.0
00003304,593.15,1360.0
00003305,1608.0,2090.0
00003306,840.0,1950.0
00003307,1610.76,2560.0
00003308,,
00003309,769.5,770.0
00003310,579.12,580.0
00003311,395.0,650.0
00003312,81.0,190.0
00003313,336.02,500.0
00003314,138.0,160.0
00003315,100.7,180.0
00003316,485.18,800.0
00003317,,300.0
00003318,2191.0,3350.0
00003319,90.0,100.0
00003320,46.0,50.0
00003321,429.92,910.0
00003322,1150.0,1500.0
00003323,5962.76,9120.0
00003324,5962.76,9120.0
00003325,2645.44,4050.0
00003326,1513.0,1515.0
00003327,162.14,320.0
00003328,63.0,120.0
00003329,1132.42,1470.0
00003330,3383.6,7350.0
00003331,937.38,1680.0
00003332,195.0,400.0
00003333,2120.0,6160.0
00003334,359.0,580.0
00003335,419.59,690.0
00003336,61.82,110.0
00003337,148.0,270.0
00003338,84.0,225.0
00003339,467.0,740.0
00003340,1612.13,1615.0
00003341,2882.0,2885.0
00003342,424.0,425.0
00003343,1129.94,2050.0
00003345,595.0,1100.0
00003346,224.0,585.0
00003347,784.3,1020.0
00003348,665.0,1240.0
00003349,665.0,1240.0
00003350,455.0,840.0
00003351,945.0,1760.0
00003352,595.0,1100.0
00003353,665.0,1240.0
00003354,158.0,300.0
00003355,266.0,690.0
00003356,350.0,900.0
00003357,315.0,810.0
00003358,315.0,810.0
00003359,100.0,720.0
00003360,266.0,690.0
00003361,266.0,580.0
00003362,308.0,800.0
00003363,192.0,1050.0
00003364,308.0,800.0
00003365,308.0,800.0
00003366,599.0,750.0
00003367,945.0,1760.0
00003368,315.0,580.0
00003369,315.0,690.0
00003370,665.0,1705.0
00003371,525.0,1350.0
00003372,525.0,1350.0
00003373,341.0,950.0
00003374,437.5,850.0
00003375,437.5,850.0
00003376,3000.0,5850.0
00003377,350.0,1350.0
00003378,1487.5,3850.0
00003379,1662.5,4850.0
00003380,838.5,2350.0
00003381,202.81,440.0
00003382,1792.18,2740.0
00003383,465.5,1500.0
