kod;artikul;proizvoditel;edizm;datasozdanija;roditel;osnsklad;zakazy_sklad;tsenazakup;tsenarozn;gruppa_analogov;type_detail
00002970;0V1Y111SFXk;KFM;компл;2022-02-06;Шатунно-поршневая группа;1;0;480.0;3135.0;KTP2IU6HMF;вкладыши шатунные
00002971;00002971;AA;компл;2022-02-06;Шатунно-поршневая группа;0;0;214.0;1080.0;;втулки шатунные
00003091;GDB1550;TRW;компл;2022-03-15;0;0;0;4877.46;4900.0;;колодки тормозные передний
00002972;0K7Y011SE0;HyundaiKia;компл;2022-02-06;Шатунно-поршневая группа;0;0;214.0;1260.0;GNK8HCRA5L;вкладыши шатунные
00002973;2102038540;D.S.M.;компл;2022-02-06;Шатунно-поршневая группа;2;0;455.0;1170.0;R9XDM0WSI5;вкладыши коренные
00002974;2102045921;KFM;компл;2022-02-07;Шатунно-поршневая группа;9;0;550.0;2245.0;IRWLUR25JF;вкладыши коренные
00002975;2306041922a;AA;компл;2022-02-07;Шатунно-поршневая группа;1;0;500.0;2605.0;ZW4YMPLEQ9;вкладыши шатунные
00002976;0K7Y011SFX;AA;компл;2022-02-07;Шатунно-поршневая группа;9;0;420.0;1080.0;4Q4XABBW2T;вкладыши шатунные
00002977;0V1Y111SFYk;KFM;компл;2022-02-07;Шатунно-поршневая группа;2;0;580.0;3135.0;MXEXL47DRJ;вкладыши шатунные
00002978;338004A710b;Delphi;шт;2022-02-08;Форсунка топливная;0;0;0.0;12850.0;L7KYR4HB5L;форсунка топливная
00002980;2102042903a;AA;компл;2022-02-10;Шатунно-поршневая группа;4;0;1365.0;3495.0;V5KL2BHX9F;вкладыши коренные
00002981;2102042908;AA;компл;2022-02-10;Шатунно-поршневая группа;5;0;1225.0;3135.0;H4I8E5T93F;вкладыши коренные
00002982;2102083903;AA;компл;2022-02-10;Шатунно-поршневая группа;1;0;1168.0;6255.0;UAUW6D2JFO;вкладыши коренные
00002983;2306083902;KFM;компл;2022-02-10;Шатунно-поршневая группа;7;0;1125.0;5360.0;QJSWI0CJIC;вкладыши шатунные
00002984;2306083903;KFM;компл;2022-02-10;Шатунно-поршневая группа;13;0;1200.0;5360.0;5LWTSKSZQP;вкладыши шатунные
00002985;2306022952;KFM;компл;2022-02-10;Шатунно-поршневая группа;0;0;171.0;1170.0;H3XBW5QFZL;вкладыши шатунные
00002986;2102026962;KFM;компл;2022-02-10;Шатунно-поршневая группа;0;0;295.0;1530.0;HBV7A36M2Y;вкладыши коренные
00002987;2306026961;KFM;компл;2022-02-10;Шатунно-поршневая группа;1;0;171.0;1170.0;T80HDSAWPK;вкладыши шатунные
00002988;65024106085;AA;компл;2022-02-10;Шатунно-поршневая группа;2;0;1149.0;5360.0;UN2CU55MBC;вкладыши шатунные
00002989;662030054054k;SsangYong;компл;2022-02-10;Шатунно-поршневая группа;1;0;3218.0;12060.0;3Z3KQ3YOE4;вкладыши коренные
00002990;577283Q000;HyundaiKia;шт;2022-02-10;Рулевое управление;0;0;359.1;810.0;;пыльник рулевой рейки
00002991;RV3530B;UTM;шт;2022-02-11;Генератор и комплектующие;0;0;2700.0;3500.0;YYDMYMKT69;релерегулятор генератора
00002992;P312H;KFM;компл;2022-02-14;Шатунно-поршневая группа;1;0;118.0;1030.0;8I8DCHS3I7;втулки шатунные
00002993;PSE11011;Patron;шт;2022-02-14;Задний мост;0;0;72.0;400.0;78A9WXBPHJ;втулка рессоры задний
00002994;31112A70A0;HyundaiKia;шт;2022-02-15;Запчасти для ТО;0;0;1682.0;2350.0;Y7H7B93REK;фильтр топливный
00002995;550292;ERA;шт;2022-02-15;Датчики двигателя, коробки;0;0;938.0;1500.0;;датчик положения распредвала
00002996;7145;0;шт;2022-02-16;Нераспределено;0;0;250.0;350.0;;болт
00002997;DNOPDN112b;DOOWON;шт;2022-02-16;Топливная система;1;0;700.0;1795.0;M0TIF22POU;распылитель
00002998;-;0;м;2022-02-16;Автоэлектрика;4;0;8.5;40.0;;автоэлектрика провод пугв
00002999;ARG131049L;Arirang;шт;2022-02-16;Тормозная система;2;0;850.19;1360.0;EF9FQWHRCK;трос ручного тормоза
00003000;ARG131049R;Arirang;шт;2022-02-16;Тормозная система;1;0;852.02;1360.0;VGLSMYMFY7;трос ручного тормоза
00003001;P250126KOR;Patron;шт;2022-02-16;Генератор и комплектующие;0;0;2644.63;3850.0;YYDMYMKT69;релерегулятор генератора
00003002;ST2231900L;SAT;шт;2022-02-17;Кузов;2;0;1333.8;2970.0;TG3B6Q2448;фонарь задний
00003003;-;0;м;2022-02-17;Автоэлектрика;0;0;8.4;40.0;;автоэлектрика провод пугв
00003004;-;0;м;2022-02-17;Автоэлектрика;0;0;8.4;40.0;;автоэлектрика провод пугв
00003005;-;0;м;2022-02-17;Автоэлектрика;0;0;8.4;25.0;;автоэлектрика провод пугв
00003006;-;0;м;2022-02-17;Автоэлектрика;0;0;8.4;40.0;;автоэлектрика провод пугв
00003007;-;0;м;2022-02-17;Автоэлектрика;6;0;12.5;50.0;;автоэлектрика провод пугв
00003008;-;0;м;2022-02-17;Автоэлектрика;5;0;12.5;50.0;;автоэлектрика провод пугв
00003009;-;0;м;2022-02-17;Автоэлектрика;14;0;12.5;50.0;;автоэлектрика провод пугв
00003010;-;0;м;2022-02-17;Автоэлектрика;18;0;0.0;50.0;;автоэлектрика провод пугв
00003011;96177403;HAN;шт;2022-02-17;Кузов;1;0;0.0;6255.0;;стекло лобовое
00003012;1010J300;Febest;шт;2022-02-18;Привода, шрусы;1;0;1827.0;5300.0;AVTYL63592;граната привода
00003014;AW1510064;Aywiparts;шт;2022-02-18;Привода, шрусы;2;0;1371.0;3930.0;HDP17G3ZDC;граната привода
00003015;8341022000;Kac;шт;2022-02-18;Кузов;2;0;0.0;2500.0;;стекло боковое
00003016;252812A100;HyundaiKia;шт;2022-02-18;Ремни агрегатов, ролики, натяжители, кронштейны;0;0;7650.0;8000.0;0IAMGD0B1U;ролик ремня генератора
00003017;1987529045;Bosch;шт;2022-02-18;Предохранители;3;0;66.08;110.0;;предохранитель плоский мини
00003018;1987529029;Bosch;шт;2022-02-18;Предохранители;6;0;25.0;40.0;;предохранитель плоский мини
00003019;ABTFO1017;Tenacity;шт;2022-02-18;Ремни агрегатов, ролики, натяжители, кронштейны;2;0;651.0;950.0;2VEVOCW2YK;ролик ремня генератора
00003020;547154E600n;Geunyoung;шт;2022-02-21;Передняя подвеска;0;0;782.0;1250.0;KY7IX8ZVTO;линкстойка поперечного стабилизатора передний
00003021;SSA3070LC;Krauf;шт;2022-02-21;Стартер и комплетующие;1;0;1665.44;2980.0;6K30RT8R95;втягивающее стартера
00003022;SD1036;Sangsin;шт;2022-02-22;Тормозная система;8;0;2461.5;3770.0;AQMYLJKLJO;диск тормозной передний
00003023;517122E300;HyundaiKia;шт;2022-02-22;Тормозная система;0;0;1445.0;4900.0;AQMYLJKLJO;диск тормозной передний
00003024;517122C000;HyundaiKia;шт;2022-02-22;Тормозная система;0;0;1445.0;4900.0;AQMYLJKLJO;диск тормозной передний
00003025;KS0700023;KAP;шт;2022-02-22;Подвеска;0;0;399.0;750.0;CG3CNGXNVF;линк поперечного стабилизатора переднийзадний
00003026;09992211;Brembo;шт;2022-02-23;0;0;0;5927.0;7015.0;;диск тормозной передний
00003027;A00442;Brembo;шт;2022-02-23;0;0;0;1059.95;1060.0;;датчик износа тормозных колодок
00003028;P06049;Brembo;компл;2022-02-23;0;0;0;6697.36;6700.0;;колодки тормозные передний
00003029;587324E400n;Daewoo Bus;шт;2022-02-24;Тормозная система;0;0;675.0;1350.0;DFKB24ZNRD;шланг тормозной передний
00003030;1987529049;Bosch;шт;2022-02-24;Предохранители;5;0;38.51;60.0;;предохранитель плоский мини
00003031;1987529077;Bosch;шт;2022-02-24;Предохранители;9;0;33.34;130.0;;предохранитель плоский мини
00003032;3737042300n;0;шт;2022-02-25;Генератор и комплектующие;0;0;1620.0;2350.0;HOATWGAQUU;релерегулятор генератора
00003033;212141108054;0;шт;2022-02-25;Топливная система;0;0;500.0;800.0;;трос газа
00003034;PFN107;Patron;шт;2022-02-25;Климатическая система;2;0;1983.36;4430.0;Y3RHZ5L5DX;электродвигатель печки
00003035;65051006023Sn;DOOWON;шт;2022-02-28;Масляный насос;1;0;4550.0;11610.0;SIMNVW98NW;масляный насос на двигатель
00003036;PV1070;Patron;шт;2021-12-31;0;3;0;260.99;530.0;QS04SLY1DT;клапан двс впуск
00003037;157E4F;0;шт;2022-02-28;0;0;0;1008.0;1340.0;;смазочные материалы
00003038;1879001115;HyundaiKia;шт;2022-03-01;Предохранители;4;0;29.46;60.0;;предохранитель плоский мини
00003039;11721436;Iskra;шт;2022-03-01;Свечи накала;8;0;1046.37;1900.0;VUUIPVYXEI;свеча накала
00003040;MR0810;Trialli;шт;2022-03-02;Ступица;1;0;3066.62;3990.0;RLGILY65V4;ступица передний
00003041;A00434;Brembo;шт;2022-03-02;0;0;0;1059.95;1060.0;;датчик износа тормозных колодок
00003042;P06056;Brembo;компл;2022-03-02;0;0;0;4493.51;4550.0;XB66XJ91GA;колодки тормозные задний
00003043;581014FA10;HyundaiKia;компл;2022-03-02;Тормозная система;1;0;3709.0;7530.0;HL4JXMQLSH;колодки тормозные передний
00003044;E100036;Miles;компл;2022-03-02;Тормозная система;0;0;801.0;1530.0;28M5EL2H47;колодки тормозные передний
00003045;2221132010;Anjun;шт;2022-03-02;Головка блока цилиндров (ГБЦ) и комплектующие;0;0;94.0;315.0;LNQXXP1PU7;клапан двс впуск
00003046;MV1809;QML;шт;2022-03-03;Головка блока цилиндров (ГБЦ) и комплектующие;0;0;138.0;300.0;X4F10LILM7;клапан двс выпуск
00003047;UDW9L333218;Ukorauto;шт;2022-03-03;Головка блока цилиндров (ГБЦ) и комплектующие;2;0;280.0;450.0;PTVQ22UM19;клапан двс выпуск
00003048;224432B800;HyundaiKia;шт;2022-03-03;Сальники и прокладки двигателя;6;0;621.86;1100.0;MTNS8B18UD;прокладка проставки крышки клапанов
00003049;0K7Y111SDX;ROK;компл;2022-03-04;Шатунно-поршневая группа;2;0;1338.0;4385.0;U3O5X2WD3W;кольца поршневые
00003050;SE0123206n;CTI;компл;2022-03-04;Шатунно-поршневая группа;1;0;1635.0;5275.0;P2WNY345QV;кольца поршневые
