,kod,data,kolichestvo
305,ЦБ002096,2022-02-14 15:20:46,2
306,ЦБ001879,2022-02-14 15:20:46,1
308,ЦБ020851,2022-02-14 15:20:46,4
311,ЦБ011790,2022-02-03 16:03:30,2
312,ЦБ009276,2022-02-03 16:03:30,3
313,ЦБ004405,2022-02-07 17:02:22,2
314,ЦБ008896,2022-02-07 17:02:22,1
315,ЦБ011316,2022-02-07 17:02:22,2
316,ЦБ016993,2022-02-07 17:12:07,1
317,ЦБ010779,2022-02-08 14:11:07,1
320,ЦБ002360,2022-02-01 17:12:05,1
321,ЦБ002361,2022-02-01 17:12:05,1
322,ЦБ019954,2022-01-26 16:33:11,35
323,00002929,2022-01-26 16:33:11,25
324,ЦБ003381,2022-01-26 16:33:11,25
325,ЦБ010751,2022-02-01 17:12:05,1
326,ЦБ023102,2022-02-01 17:12:05,7
327,ЦБ010465,2022-02-01 17:12:05,1
328,ЦБ002603,2022-02-01 17:12:05,2
330,ЦБ018452,2022-02-01 17:12:05,1
335,ЦБ013535,2022-01-27 14:28:13,48
339,ЦБ016131,2022-02-07 17:09:24,1
340,ЦБ021563,2022-02-07 17:09:24,4
341,ЦБ023409,2022-02-07 17:09:24,1
342,ЦБ010651,2022-02-07 17:09:24,3
343,ЦБ004788,2022-02-07 17:09:24,1
344,ЦБ005932,2022-01-31 17:32:40,2
345,ЦБ017982,2022-01-31 17:32:40,2
348,ЦБ022803,2022-01-31 17:32:16,1
349,ЦБ022843,2022-01-31 17:32:16,3
352,ЦБ023184,2022-01-31 17:32:16,2
353,ЦБ017890,2022-01-31 17:32:16,2
354,ЦБ011548,2022-01-31 17:32:16,2
355,ЦБ001559,2022-02-25 14:21:50,100
356,ЦБ005526,2022-03-28 14:08:33,1
357,ЦБ012333,2022-03-28 14:08:33,200
360,ЦБ017204,2022-01-26 14:19:06,4
362,ЦБ001982,2022-02-04 15:39:04,2
365,ЦБ018995,2022-01-25 15:46:03,1
366,ЦБ007390,2022-01-25 15:46:03,2
368,ЦБ021274,2022-01-25 15:46:03,1
369,ЦБ007262,2022-01-25 15:46:03,2
371,ЦБ021047,2022-01-25 15:46:03,1
373,ЦБ002803,2022-01-25 15:46:03,1
374,ЦБ012029,2022-01-25 15:46:03,1
375,ЦБ004091,2022-01-25 15:46:03,1
376,ЦБ005987,2022-01-25 15:46:03,1
377,ЦБ019884,2022-01-25 15:46:03,2
378,ЦБ003976,2022-01-25 15:46:03,2
379,ЦБ006770,2022-01-25 15:46:03,1
380,ЦБ022603,2022-01-25 15:46:03,4
381,ЦБ018947,2022-01-25 15:46:03,1
382,ЦБ018555,2022-02-25 14:13:01,5
384,ЦБ002714,2022-01-24 15:59:16,10
385,ЦБ006565,2022-01-24 15:59:16,2
387,ЦБ015951,2022-01-24 15:59:16,4
388,ЦБ013338,2022-01-24 15:59:16,2
389,ЦБ011001,2022-01-24 15:59:16,3
390,ЦБ003311,2022-01-24 15:59:16,2
392,00002921,2022-01-24 15:59:16,2
393,ЦБ010693,2022-01-25 15:46:03,2
394,ЦБ012950,2022-01-25 15:46:03,5
395,ЦБ015671,2022-01-25 15:46:03,2
396,ЦБ019016,2022-01-25 15:46:03,2
398,ЦБ018132,2022-01-25 15:46:03,3
399,ЦБ021872,2022-01-25 15:46:03,1
400,ЦБ002958,2022-01-25 15:46:03,2
401,ЦБ011297,2022-01-25 15:46:03,2
402,ЦБ011253,2022-01-25 15:46:03,3
403,ЦБ007263,2022-01-25 15:46:03,5
404,ЦБ003957,2022-01-25 15:46:03,2
405,ЦБ007271,2022-01-25 15:46:03,3
406,ЦБ022476,2022-02-07 17:03:44,9
407,ЦБ004335,2022-01-24 15:54:35,3
408,ЦБ023029,2022-01-24 15:54:35,1
